item_name,variation,raw_category,category_group,units_sold,revenue,net_sales,gross_sales,avg_unit_price,est_cost_pct,est_margin
Slime-Tonic,Regular,Soft Drinks,Drink,5.0,11.45,11.45,13.75,2.29,0.22,1.7862
Soda,Regular,Soft Drinks,Drink,2.0,4.58,4.58,5.5,2.29,0.22,1.7862
Sprite Zero,Regular,Soft Drinks,Drink,44.0,143.64,139.84,167.8,3.264545454545454,0.22,2.5463454545454542
Tonic,Regular,Soft Drinks,Drink,6.0,13.74,13.74,16.5,2.29,0.22,1.7862
Courvoisier,50ml,Spirit,Drink,3.0,22.5,22.5,27.0,7.5,0.22,5.8500000000000005
Gordons Gin,50ml,Spirits,Drink,3.0,23.75,23.75,28.5,7.916666666666667,0.22,6.175000000000001
Arancini,Regular,Starters,Food,35.0,290.16,290.16,348.25,8.290285714285716,0.3,5.8032
Baked Mushrooms,Regular,Starters,Food,22.0,174.22,174.22,209.0,7.919090909090909,0.3,5.543363636363636
Beetroot Tartare,Regular,Starters,Food,18.0,150.35,143.64,172.39,8.352777777777778,0.3,5.8469444444444445
Bruschetta,Mushroom,Starters,Food,5.0,33.68,31.68,38.0,6.736,0.3,4.715199999999999
Bruschetta,Tomato,Starters,Food,20.0,133.38,133.38,160.0,6.669,0.3,4.6682999999999995
Burrata,Regular,Starters,Food,22.0,192.5,192.5,231.0,8.75,0.3,6.125
Calamari,Regular,Starters,Food,25.0,228.41,226.77,272.11,9.1364,0.3,6.39548
Chicken Liver Parfait,Regular,Starters,Food,12.0,95.01,95.01,114.0,7.9175,0.3,5.54225
Garlic Bread,Regular,Starters,Food,30.0,153.58,151.7,182.12,5.1193333333333335,0.3,3.583533333333333
Homemade Meatballs,Regular,Starters,Food,7.0,63.0,63.0,73.5,9.0,0.3,6.3
King Prawns,Regular,Starters,Food,30.0,273.73,273.73,328.5,9.124333333333334,0.3,6.387033333333334
Salmon Fish Cake,Regular,Starters,Food,23.0,229.06,229.06,274.85,9.959130434782608,0.3,6.971391304347826
Soup,Regular,Starters,Food,18.0,120.03,120.03,144.0,6.668333333333333,0.3,4.667833333333332
Antipasti Sharing Board,Regular,Starters to Share,Food,6.0,84.73,84.73,101.7,14.121666666666668,0.3,9.885166666666667
Garlic Pizza Bread,Regular,Starters to Share,Food,8.0,73.36,73.36,88.0,9.17,0.3,6.419
Crispy Pancetta Ciabatta,Regular,Toast and Sandwiches,Food,1.0,8.29,8.29,9.95,8.29,0.3,5.802999999999999
Cumberland Sausage Ciabatta,Regular,Toast and Sandwiches,Food,8.0,66.32,66.32,79.6,8.29,0.3,5.802999999999999
Fried Eggs Ciabatta,Regular,Toast and Sandwiches,Food,3.0,31.96,31.96,38.35,10.653333333333334,0.3,7.457333333333334
Smoked Salmon Ciabatta,Regular,Toast and Sandwiches,Food,5.0,53.95,53.95,64.75,10.790000000000001,0.3,7.553
Toasted Sourdough Bread,1 Slice,Toast and Sandwiches,Food,13.0,32.5,32.5,39.0,2.5,0.3,1.75
Toasted Sourdough Bread,2 Slices,Toast and Sandwiches,Food,21.0,103.61,103.61,124.35,4.933809523809524,0.3,3.4536666666666664
Toasted Sourdough Bread,Regular,Toast and Sandwiches,Food,8.0,37.6,37.6,45.1,4.7,0.3,3.29
Absolut,50ml,Vodka,Drink,4.0,26.67,26.67,32.0,6.6675,0.22,5.20065
Elderflower Cordial,Regular,Water,Drink,6.0,4.02,4.02,4.8,0.6699999999999999,0.22,0.5226
Glass of Tap,Regular,Water,Drink,35.0,0.0,0.0,0.0,0.0,0.22,0.0
Ice Cup,Regular,Water,Drink,4.0,0.0,0.0,0.0,0.0,0.22,0.0
Jug of Tap,Regular,Water,Drink,82.0,0.0,0.0,0.0,0.0,0.22,0.0
Lime Cordial,Regular,Water,Drink,20.0,13.39,13.39,16.0,0.6695,0.22,0.52221
Sparkling Water,Large,Water,Drink,52.0,216.79,216.79,260.0,4.169038461538461,0.22,3.2518499999999997
Sparkling Water,Regular,Water,Drink,70.0,204.33,204.33,245.0,2.919,0.22,2.2768200000000003
Still Water,Large,Water,Drink,59.0,246.12,245.37,294.25,4.171525423728814,0.22,3.2537898305084747
Still Water,Regular,Water,Drink,41.0,119.68,119.68,143.5,2.919024390243903,0.22,2.2768390243902443
Jack Daniels,50ml,Whiskey,Drink,5.0,42.01,42.01,50.4,8.402,0.22,6.55356
Chardonnay,250ml,White Wines,Drink,4.0,35.17,35.17,42.2,8.7925,0.22,6.85815
Chardonnay,Bottle,White Wines,Drink,1.0,25.0,25.0,30.0,25.0,0.22,19.5
Gavi di Gavi,Bottle,White Wines,Drink,2.0,63.34,63.34,76.0,31.67,0.22,24.702600000000004
Inzolia,175ml,White Wines,Drink,8.0,43.32,43.32,52.0,5.415,0.22,4.2237
Inzolia,250ml,White Wines,Drink,6.0,42.49,42.49,51.0,7.081666666666667,0.22,5.523700000000001
Pinot Grigio,175ml,White Wines,Drink,5.0,31.25,31.25,37.5,6.25,0.22,4.875
Pinot Grigio,250ml,White Wines,Drink,14.0,110.85,110.85,133.0,7.917857142857143,0.22,6.175928571428572
Pinot Grigio,Bottle,White Wines,Drink,6.0,139.98,139.98,168.0,23.33,0.22,18.1974
Sauvignon Blanc,175ml,White Wines,Drink,7.0,52.5,52.5,63.0,7.5,0.22,5.8500000000000005
Sauvignon Blanc,250ml,White Wines,Drink,16.0,146.26,144.62,173.56,9.14125,0.22,7.1301749999999995
Sauvignon Blanc,Bottle,White Wines,Drink,5.0,133.34,133.34,160.0,26.668,0.22,20.80104
